"gloss","target_child_sex"
"a brilliant","male"
"the water was a brilliant shade of turquoise and dolphins leapt in and out of the water as if they were dancing","female"
"lived a beautiful and clever princess Jasmine","female"
"clever girl","female"
"that's right clever girl","female"
"clever girl","female"
"clever monkey","female"
"clever girl","female"
"clever girl yeah it is a planet","female"
"clever girl good job","female"
"and you are a clever girl","female"
"you're a clever girl Violet","female"
"wow he's clever","female"
"clever girl","female"
"clever girl good job","female"
"such a smart boy","male"
"yep Mommy's pretty smart I know where everything is","male"
"lookit wee it's xxx go the other way the train is so smart","male"
"you're smarter than Mommy","male"
"mommy's not stupid mommy's smart","male"
"you know where that goes don't you you're smart","male"
"it's a w you're xxx right you're smarter than I am","male"
"smart guy huh","male"
"xxx heh that's pretty smart","male"
"very smart","male"
"good that's very smart of you to close your eyes this time because the last time it got in your eye","male"
"oh very smart William","male"
"that's very smart William","male"
"oh that's a really smart thing to","male"
"you're very you're a very smart girl","female"
"he is smart","female"
"that's very smart of you","female"
"that says baby smart","female"
"baby smart","female"
"it is Jane oh_my_goodness you're smart","female"
"wow a circle's a tough one you're smart","female"
"you're smart and you love your sweets","female"
"but you're smart","female"
"are you smart","female"
"Mississippi you're so smart","female"
"you're so smart","female"
"you are so smart","female"
"you're so smart","female"
"are you so smart","female"
"who's smart","female"
"you're so smart","female"
"you're smart","female"
"you're smart","female"
"you are so smart","female"
"you're so smart","female"
"you're smart","female"
"yay who's smart","female"
"you're smart","female"
"you're so smart","female"
"whoa great smarty+pants","female"
"okay you're too smart for me","female"
"because boy oh boy you are smart","female"
"they have this one which has a smart cash register","female"
"our pup is smart our pup can get a butterfly without a net","female"
"that was very smart","female"
"you are smart","female"
"you are so smart I forgot to tell Daddy that you told me that yesterday","female"
"you're a smart girl huh","female"
"yep she's getting smarter by the second","female"
"you are smart cookies","female"
"that's easy said the dinosaur he's smart said Danny","female"
"you're a smart girl","female"
"strong yeah","male"
"wow Erin is very strong I think she might be a little tired though why don't you go down","male"
"you're pretty strong","male"
"two dishes you're strong","male"
"with back strong and wide he will give us a very safe ride","male"
"engines big and strong woo hoo chuga chuga chuga chug a","male"
"who's stronger","male"
"James is stronger","male"
"he's a big strong engine","male"
"he's nice and strong","male"
"to drink milk to make you big and strong","male"
"yeah big and strong like Daddy","male"
"he's the big strong engine huh","male"
"and what does the big strong engine say","male"
"Gordon helped him out of the mine that was nice of him because Gordon's a big strong engine","male"
"there oof you're strong","male"
"xxx you're strong","male"
"he's gotta be really strong to walk a truck doesn't he","male"
"Bob must be really strong","male"
"xxx I don't know if I'm strong enough Ethan","male"
"you're getting stronger","male"
"I have some tape some special strong tape","male"
"I don't think you're strong enough what do you mean","male"
"you need nine players strong and quick to field a team for piggly_stick","male"
"first comes engines big and strong","male"
"this spoon isn't so strong","female"
"ooh you're strong","female"
"you're strong","female"
"you're very strong honey","female"
"and stronger than seven gorillas","female"
"you're a strong baby","female"
"you are one strong baby","female"
"two strong arms around a fuzzy bear's head","female"
"and make it much stronger that has to be done","female"
"Merryweather wanted to take away Malificent's curse put her powers were not strong enough","female"
"wow that's one strong train honey","female"
"suddenly a strong wind started to blow","female"
"there was a sturdy bar as well for Miffy to spin around how strong and brave of her or so her mother found","female"
"yeah ooh this mushroom is called a stink horn and it has a nasty strong smell P U","female"
"very nice you're strong","female"
"grow big and strong","female"
"and make it much stronger that has to be done","female"
"strong winds and sudden showers are often followed by rainbows or sunshine","female"
"you can find out how strong the wind is by looking out for the signs around you","female"
"the wind became stronger and hawk flew loop+de+loops wee he cried","female"
"you're gonna grow up to be big and strong","female"
"and ten feet fish are big and strong","female"
"and make it much stronger that has to be done","female"
"oh how strong you are","female"
"wow you are so strong Honey","female"
"weak and strong that mouse is holding a feather and that moose is holding some weights","female"
"and strong just like Hucklecat","female"
"you xxx strong","female"
"well the hummus will help you be strong","female"
"he's very strong","female"
"it's strong","female"
"but a bird or let's see some other kind of animal with strong teeth could probably do it","female"
"people don't have teeth as strong as some animals' teeth","female"
"a bird with a really strong beak might be able to crack that","female"
"I need some stronger","female"
"it's a strong wind","female"
"the sun is bright enough the bulb is strong enough","female"
"yeah for strongest girls","female"
"joey is still only a few months old like all kangaroos he has strong back legs large feet and a long tail","female"
"when joey moves it's easy to see why his legs and body are so big and strong","female"
"my horns are long and sharp and strong","female"
"look how strong he his","female"
