"gloss","target_child_sex"
"that's a broom","male"
"there oh_my_goodness I think we better get the broom","male"
"let's go get the broom","male"
"where's the broom","male"
"broom","male"
"broom Max say broom","male"
"oh a broom Piglet has a broom","female"
"a broom","female"
"what color broom does Mommy have","female"
"do we have a blue broom in the closet","female"
"a broom","female"
"broom","female"
"a broom","female"
"Lily has a broom","female"
"using her broom as an imaginary partner Cinderella danced and twirled gracefully through the room","female"
"look there she is again with a cauldron and a broomstick Hilda explains exclaims","female"
"I once read that witches use cauldrons and broomsticks broomsticks now I know she's a witch","female"
"then why did you buy a broom and a cauldron","female"
"using her broom as an imaginary partner Cinderella danced and twirled gracefully through the room she led everyone across the floor sweeping and cleaning as they went","female"
"is the clown gonna even reach there where's yer broom","female"
"dyou know where yer broom is","female"
"where's that broom","female"
"where are you broom","female"
"where are you broom","female"
"were you playing with xxx with yer broom","female"
"were you and xxx playing with the broom maybe","female"
"oh I see the broom","female"
"here's Naima's broom","female"
"oh so we're gonna get the ball with this broom right","female"
"you're getting your broom","female"
"that's a truck that has a broom attached to it to make the streets clean","female"
"should we have the brooms","female"
"should I make a broom","female"
"well that was good now we can sweep in here where's your broom","female"
"some of his toys that are messy and need to be put away and there's a broom for cleaning up and a bucket","female"
"a broom or is he too little","female"
"oh it's shaped like a grownup broom","female"
"okay let me put these mops away I mean these brooms away xxx","female"
"on All_Hallows_Eve witches the world around mount broomsticks to fly to the earth's darkest corners","female"
"broom that's right","male"
"whada you do with the broom do you sweep","male"
"dyou sweep with the broom","male"
"whadyou do with the broom","male"
"dyou play guitar with the broom","male"
"who where'd did you get sit in a firetruck","male"
"the red ones red lights are on ambulance and on a firetruck","male"
"lights are on firetrucks","male"
"I think somebody's hammering","female"
"where is the hammer one I don't know","male"
"where is the hammer one well I don't know well let's do the rest of the pieces","male"
"I don't know where the hammer one is","male"
"hammer","female"
"there's a hammer in there","female"
"did you see the hammer","female"
"you're gonna hammer the wall","female"
"go hammer the couch","female"
"this a hammer","female"
"this is a hammer","female"
"that's a hammer","female"
"that's a hammer","female"
"hammer","female"
"its good for hammers","female"
"are you gonna hammer the door","female"
"what are you gonna hammer","female"
"it's like a hammer","female"
"why don't you hammer on the box if you wanna hammer","female"
"you can hammer on the box","female"
"are you going to hammer this","female"
"this looks good to hammer","female"
"oh you wanna hammer the wall","female"
"why don't you hammer this wood","female"
"use hammer on the wood","female"
"hammer the wood","female"
"oh that's not a hammer no","female"
"you can bang it with the hammer","female"
"that's a hammer","female"
"does it need a little hammering","female"
"I think it needs a little hammering","female"
"why don't you hammer something else","female"
"hammer the box","female"
"that's not a hammer","female"
"that's a hammer","female"
"hammer on the bucket","female"
"why don't you hammer on the bucket","female"
"what do you do with the hammer","male"
"don't hammer the baby","female"
"hammer plier","male"
"hammer","male"
"hammer","male"
"what do you do with the hammer","male"
"hammer","male"
"you could hammer on Dumbo","female"
"hammer","male"
"if you hammer on that it it would make a very loud sound","female"
"that's loud hammering","female"
"where's the hammer","male"
"is that a hammer","male"
"where's the hammer","male"
"what do you do with the hammer","male"
"what do you do with the hammer","male"
"hammer","male"
"show mommy how you use the hammer","male"
"what do you do with the hammer","male"
"show mommy how you use the hammer","male"
"you just know the hammer","male"
"what do you do with the hammer","male"
"you're not gonna show me the hammer","male"
